ch,man,man-pop
㐀,qiu,qiu
㐁,tian,tian
㐄,kua,kua
㐅,wu,wu
㐆,yin,yin
㐌,ta,ta
㐖,ye,ye
㐜,chou,chou
㐡,nuo,nuo
㐡,ru,ru
㐤,dan,dan
㐤,qiu,qiu
㐨,xu,xu
㐩,xing,xing
㐫,xiong,xiong
㐬,liu,liu
㐭,lin,lin
㐮,xiang,xiang
㐯,yong,yong
㐰,xin,xin
㐱,zhen,zhen
㐲,dai,dai
㐳,wu,wu
㐴,pan,pan
㐵,ru,ru
㐷,ma,ma
㐸,ci,ci
㐸,qian,qian
㐹,qi,qi
㐹,xi,xi
㐹,yi,yi
㐺,yin,yin
㐺,zhong,zhong
㐻,nei,nei
㐼,cheng,cheng
㐽,feng,feng
㑁,zhuo,zhuo
㑂,fang,fang
㑃,ao,ao
㑄,wu,wu
㑅,zuo,zuo
㑇,zhou,zhou
㑈,dong,dong
㑉,su,su
㑊,yi,yi
㑋,qiong,qiong
㑌,kuang,kuang
㑍,lei,lei
㑎,nao,nao
㑏,zhu,zhu
㑐,shu,shu
㑑,za,za
㑑,zan,zan
㑔,xu,xu
㑗,shen,shen
㑘,jie,jie
㑙,die,die
㑚,nuo,nuo
㑛,su,su
㑜,chi,chi
㑜,yi,yi
㑝,long,long
㑞,ying,ying
㑟,beng,beng
㑣,lan,lan
㑤,miao,miao
㑥,yi,yi
㑦,li,li
㑧,ji,ji
㑨,yu,yu
㑩,luo,luo
㑪,chai,chai
㑮,hun,hun
㑯,xu,xu
㑰,hui,hui
㑱,rao,rao
㑳,zhou,zhou
㑵,han,han
㑶,xi,xi
㑷,tai,tai
㑸,yao,yao
㑹,hui,hui
㑺,jun,jun
㑺,zun,zun
㑻,ma,ma
㑼,lve,lve
㑽,tang,tang
㑾,yao,yao
㑿,zhao,zhao
㒀,zha,zha
㒀,zhai,zhai
㒁,yu,yu
㒂,zhuo,zhuo
㒃,er,er
㒄,ran,ran
㒅,qi,qi
㒆,chi,chi
㒇,wu,wu
㒈,han,han
㒉,tang,tang
㒊,se,se
㒌,qiong,qiong
㒍,lei,lei
㒎,sa,sa
㒑,hui,hui
㒑,kui,kui
㒒,pu,pu
㒓,ta,ta
㒔,du,du
㒔,shu,shu
㒔,tu,tu
㒕,yang,yang
㒖,ou,ou
㒗,tai,tai
㒙,mian,mian
㒚,wen,wen
㒚,yin,yin
㒛,diao,diao
㒜,yu,yu
㒝,mie,mie
㒝,wa,wa
㒞,jun,jun
㒟,niao,niao
㒠,xie,xie
㒡,you,you
㒤,che,che
㒥,feng,feng
㒦,lei,lei
㒧,li,li
㒩,luo,luo
㒫,ji,ji
㒯,ye,ye
㒰,quan,quan
㒲,cai,cai
㒳,liang,liang
㒴,gu,gu
㒵,mao,mao
㒷,gua,gua
㒸,sui,sui
㒻,mao,mao
㒼,man,man
㒽,quan,quan
㒾,shi,shi
㒿,li,li
㓁,wang,wang
㓂,kou,kou
㓃,du,du
㓄,zhen,zhen
㓅,ting,ting
㓈,bing,bing
㓉,huo,huo
㓊,dong,dong
㓋,gong,gong
㓌,cheng,cheng
㓎,qin,qin
㓏,jiong,jiong
㓐,lu,lu
㓑,xing,xing
㓓,nan,nan
㓔,xie,xie
㓖,bi,bi
㓗,jie,jie
㓘,su,su
㓚,gong,gong
㓜,you,you
㓝,xing,xing
㓞,qia,qia
㓟,pi,pi
㓠,dian,dian
㓡,fu,fu
㓡,gua,gua
㓢,luo,luo
㓣,ge,ge
㓣,qia,qia
㓤,qia,qia
㓥,tang,tang
㓦,bai,bai
㓦划,bo hua,bo hua
㓦劃,bo hua,bo hua
㓧,gan,gan
㓨,ci,ci
㓩,jie,jie
㓩,xuan,xuan
㓪,lang,lang
㓭,she,she
㓯,li,li
㓰,hua,hua
㓱,shu,shu
㓱,tou,tou
㓲,pian,pian
㓳,di,di
㓴,ruan,ruan
㓵,e,e
㓶,qie,qie
㓷,yi,yi
㓸,dou,dou
㓸,zhuo,zhuo
㓹,cui,cui
㓹,ji,ji
㓹,rui,rui
㓺,jian,jian
㓺,qian,qian
㓻,pi,pi
㓼,chi,chi
㓽,chong,chong
㓾,qi,qi
㓾,xi,xi
㔀,lve,lve
㔁,deng,deng
㔂,lin,lin
㔃,jue,jue
㔃,xue,xue
㔄,su,su
㔅,xiao,xiao
㔆,zan,zan
