ch,wuu-sh
㑇,tseu
㑚,na
㑩,lu
㑳,tseu
㓟,phi
㔉,zoq
㕐,sia
㗿,hoe
㘎,hoe
㘚,hoe
㜺,tse
㝥,mi
㧐,son
㧑,hue
㧦,shioe
㨄,diau
㨖,tsy
㨣,on
㩝,ghau
㩭,ziau
㩳,son
㪗,theu
㪬,zoq
㫰,laon
㬟,ven
㭎,kaon
㱮,gue
㲀,tsen
㶒,then
㷈,eq
㷟,thoe
㹂,chi
㼭,di
㽘,kan
㽹,fe
㾭,tsieu
㿭,tshaq
㿯,taq
㿳,tsy
䀨,huaq
䀫,kaq
䀰,koq
䂻,zan
䃙,loq
䅟,se
䅟,tshen
䅟,tshoe
䇲,kaq
䈆,da
䈬,bu
䈳,daq
䉬,fi
䊵,geu
䌟,paq
䐈,tsy
䐥,on
䐬,zau
䓕,we
䓕,yoe
䙓,pa
䚭,shioe
䜩,i
䝼,zin
䞁,i
䞍,zin
䞤,geu
䞩,keq
䞳,boq
䞷,jioq
䞷,jiuq
䟒,jioe
䟿,loq
䠡,zu
䠰,jioe
䠷,thiau
䢢,tshian
䥛,ciq
䩍,liau
䫌,phi
䫜,au
䫲,he
䲟,in
䲢,den
䴔,kau
䴖,tsin
䶕,bo
䶮,i
一,iq
一下,iq shia
一个,iq gheq
一个,iq ku
一个月,iq geq yoq
一个月,iq geq yuq
一个月,iq gheq yoq
一个月,iq gheq yuq
一仗,iq tsan
一個月,iq geq yoq
一個月,iq geq yuq
一個月,iq gheq yoq
一個月,iq gheq yuq
一圤恶,iq phoq u
一圤惡,iq phoq u
一声,iq san
一声勿响,iq sen veq shian
一大块,iq du khue
一大塊,iq du khue
一朝,iq tsau
一朝,iq zau
一样个,iq yan gheq
一样生,iq yan san
一樣生,iq yan san
一瞄,iq miau
一瞄,iq miau
一聲,iq san
一聲勿響,iq sen veq shian
一行,iq ghaon
一行,iq yin
一覺,iq kau
一觉,iq kau
一道个,iq dau gheq
一部分,iq bu ven
一長,iq tsan
一长,iq tsan
丁,tin
丁,tsen
七,tshiq
七个,tshiq gheq
七个,tshiq ku
七十,tshiq seq
七翘八裂,tshiq jiau paq liq
七翹八裂,tshiq jiau paq liq
丄,laon
丄,zaon
丅,gho
万,ve
万,moq
万,me
万个,ve ku
万俟,moq ji
万只,ve tsaq
万子,me tsy
万望,ve waon
万行,ve ghaon
丈,zan
三,se
三下,se shia
三个,se gheq
三个,se ku
三分之一,se ven tsy iq
三十,se seq
三更,se kan
三朝,se tsau
三朝,se zau
三生,se san
三生,se sen
上,zaon
上个,zaon ku
上个月,zaon geq yoq
上个月,zaon geq yuq
上个月,zaon gheq yoq
上个月,zaon gheq yuq
上交,zaon kau
上個,zaon ku
上個月,zaon geq yoq
上個月,zaon geq yuq
上個月,zaon gheq yoq
上個月,zaon gheq yuq
上更,zaon kan
上行,zaon ghaon
下,gho
下,shia
下下个月,gho gho gheq yoq
下下个月,gho gho gheq yuq
下下個月,gho gho gheq yoq
下下個月,gho gho gheq yuq
下个,gho gheq
下个月,gho geq yoq
下个月,gho geq yuq
下个月,gho gheq yoq
下个月,gho gheq yuq
下個月,gho geq yoq
下個月,gho geq yuq
下個月,gho gheq yoq
下個月,gho gheq yuq
下只角,gho tsaq koq
下咽,gho i
丌,ji
不,peq
不咽,peq i
不复,peq voq
不度,peq du
不教,peq kau
不日,peq zeq
不易,peq i
不長,peq tsan
不長,peq zan
不长,peq tsan
不长,peq zan
不阿,peq a
不降,peq ghaon
与,yu
与日,yu zeq
丏,mi
丐,ke
丑,tsheu
专,tsoe
专家,tsoe cia
且,tshi
且,tsiu
丕,phe
丕,phi
世,sy
世嘉,sy cia
世行,sy ghaon
丘,chieu
丙,pin
业,gniq
丛,zon
东,ton
东晒,ton so
丝,sy
丞,zen
丟,tieu
丢,tieu
两,lian
两个,lian gheq
两个,lian ku
两伊,lian i
两家,lian cia
两家,lian ka
两家头,lian ka deu
两气生,lian chi san
两行,lian ghaon
严,gni
並,bin
丧,saon
丨,kuen
丩,cieu
个,geq
个,gheq
个,ku
个不,ku peq
个个,geq gheq
个个,ku ku
个中,ku tson
个人,gheq gnin
个人,ku gnin
个以,ku i
个位,ku we
个体,ku thi
个例,ku li
个儿,ku er
个分,ku fen
个别,ku biq
个唱,ku tshaon
个多,ku tu
个子,ku tsy
个字,gheq zy
个字,ku zy
个展,ku tsoe
个很,ku hen
个性,ku sin
个把,ku po
个数,ku su
个旧,ku jieu
个是,ku zy
个最,ku tsoe
个月,ku yoq
个月,ku yuq
个有,ku yeu
个案,ku oe
个系,ku yi
个网,ku maon
个股,ku ku
个里,ku li
个钱,ku zi
丫,o
丫,ia
丬,be
中,tson
中国人民共和国,tson koq zen min gon wu koq
中國人民共和國,tson koq zen min gon wu koq
丯,ka
丰,fon
丰镐,fon ghau
丱,kue
串,tshoe
串,kue
临,lin
临死,lin si
临死,lin sy
丶,tsy
丷,paq
丸,woe
丹,te
为,we
为二,we er
为二,we gni
为家,we cia
为自家,we zy ka
主,tsy
丽,li
举,ciu
举家,ciu cia
丿,phiq
乀,naq
乁,jiq
乁,yi
乂,gni
乃,ne
乃,ne
乃朝,ne tsau
久,cieu
么,meq
么,iau
么,moq
么,mu
么兒,iau er
么喝,iau heq
么喝,meq heq
么弟,iau di
义,gni
之,tsy
之家,tsy cia
之家,tsy ka
之扰,tsy zau
之擾,tsy zau
之長,tsy tsan
之长,tsy tsan
乌,u
乌日,u zeq
乌龟,u ciu
乌龟,u kue
乍,zo
乎,wu
乎,hu
乏,vaq
乏,fe
乐,loq
乐,yaq
乐和,yaq wu
乐器,yaq chi
乐团,yaq doe
乐圣,yaq sen
乐坛,yaq de
乐妓,yaq ji
乐工,yaq kon
乐师,yaq sy
乐府,yaq fu
乐律,yaq liq
乐感,yaq koe
乐户,yaq wu
乐手,yaq seu
乐曲,yaq chioq
乐曲,yaq chiuq
乐歌,yaq ku
乐段,yaq doe
乐毅,yaq gni
乐池,yaq zy
乐清,yaq tshin
乐理,yaq li
乐神,yaq zen
乐章,yaq tsaon
乐舞,yaq vu
乐评,yaq bin
乐调,yaq diau
乐谱,yaq pu
乐迷,yaq mi
乐队,yaq de
乐音,yaq in
乒,phin
乓,phan
乔,jiau
乖,kua
乘,zen
乙,iq
乚,ghau
乚,iq
乛,iq
乛,tseq
乜,ma
九,cieu
九个,cieu gheq
九个,cieu ku
九十,cieu seq
乞,chiq
乞降,chiq ghaon
也,gha
也,ye
也懈,gha ye
也蛮好,gha me hau
也蠻好,gha me hau
习,ziq
习惯个,ziq kue gheq
乡,shian
乡长,shian tsan
书,sy
乩,ci
买,ma
买个,ma gheq
乱,loe
乳,zy
乳,lu
乸,na
乾,koe
乾,ji
乾坤,ji khuen
乾隆,ji lon
亂,loe
亅,jioq
亅,jiuq
了,liau
了,leq
了个,liau ku
了個,liau ku
了家,liau cia
亇,gheq
予,yu
争,tsen
争,tsan
争吵,tsan tshau
争吵,tsen tshau
争气,tsan chi
事,zy
事長,zy tsan
事长,zy tsan
二,gni
二,er
二,lian
二下,gni shia
二个,gni ku
二個,gni ku
二划,gni waq
二十,er seq
二度,gni du
二甲,er ciaq
二郎腿,er laon the
亍,tshoq
于,yu
于,iu
亏,khue
亏,chiu
亏得,chiu teq
云,yon
云,yun
互,wu
互,ngu
互教,wu kau
亓,ji
五,ng
五,u
五下,ng shia
五个,ng gheq
五个,ng ku
五划,ng waq
五十,ng seq
五只,ng tsaq
五度,ng du
五更,ng kan
五脏,ng zaon
五行,ng ghaon
井,tsin
亘,kan
亙,kan
亚,ia
些,si
些个,si ku
些個,si ku
亞,ia
亟,ciq
亟,chi
亠,deu
亡,waon
亡,maon
亡,vu
亢,khaon
交,ciau
交,kau
交上,kau zaon
交与,kau yu
交了,kau liau
交予,kau yu
交互,kau wu
交保,kau pau
交出,kau tsheq
交到,kau tau
交响,kau shian
交回,kau we
交工,kau kon
交差,kau tsha
交彙,kau we
交待,kau de
交心,kau sin
交手,kau seu
交投,kau deu
交拜,kau pa
交接,kau tsiq
交收,kau seu
交桃花运,kau dau ho yon
交桃花运,kau dau ho yun
交桃花運,kau dau ho yon
交桃花運,kau dau ho yun
交椅,kau i
交楼,kau leu
交樓,kau leu
交点,kau ti
交班,kau pe
交由,kau yeu
交稅,kau soe
交税,kau soe
交稿,kau kau
交管,kau kuoe
交給,kau ciq
交織,kau tseq
交织,kau tseq
交给,kau ciq
交臂,kau pi
交與,kau yu
交角,kau koq
交費,kau fi
交賬,kau tsan
交账,kau tsan
交费,kau fi
交輝,kau hue
交辉,kau hue
交边,kau pi
交邊,kau pi
交錢,kau zi
交錯,kau tshu
交钱,kau zi
交错,kau tshu
交響,kau shian
交點,kau ti
亥,ghe
亦,yiq
产,tshe
亨,han
亨,phen
亩,m
亩,meu
享,shian
京,cin
亭,din
亭子間,din tsy ke
亭子间,din tsy ke
亮,lian
亲,tshin
亲交,tshin kau
亲家,tshin cia
亲家,tshin ka
亲家公,tshin ka kon
亲家母,tshin ka mu
亲日,tshin zeq
亲生,tshin san
亲生,tshin sen
亳,boq
亵,siq
亶,de
亶,te
亷,li
亸,tu
亹,men
亹,mi
人,gnin
人,zen
人个,gnin gheq
人们,zen men
人們,zen men
人参,gnin sen
人參,gnin sen
人文,zen ven
人民,zen min
人生,gnin san
人生,gnin sen
亻,gnin
亼,ziq
亽,ziq
亾,maon
亿,i
什,zeq
仁,gnin
仁,zen
仂,leq
仃,tin
仄,tseq
仅,jin
仆,boq
仆,phoq
仇,zeu
仇,jieu
仉,tsan
今,cin
今个,cin ku
今個,cin ku
今朝仔,cin tsau tsy
介,ka
介,cia
介紹,cia zau
介紹,ka zau
介绍,cia zau
介绍,ka zau
仌,pin
仍,gnin
仍,zen
从,zon
从,tshon
从容,tshon yon
仑,len
仓,tshaon
仔,tsy
仔,tse
仔,zy
仔猪,tse tsy
仔畜,tse tshoq
仔豬,tse tsy
仔雞,tse ci
仔魚,tse ng
仔鱼,tse ng
仔鸡,tse ci
仕,zy
他,tha
他个,tha ku
他個,tha ku
他日,tha zeq
仗,zan
仗,tsan
付,fu
仙,si
仛,doq
仛,thoq
仛,tsho
仝,don
