ch,yue
㐀,jau
㐁,dou
㐂,cat
㐃,zim
㐄,kwaa
㐅,ng
㐆,ji
㐇,gau
㐈,jap
㐉,ding
㐊,si
㐋,tou
㐌,ji
㐍,zaau
㐎,man
㐏,ng
㐐,nou
㐑,dung
㐒,ziu
㐓,ho
㐔,hang
㐕,jau
㐖,kit
㐗,lou
㐘,mai
㐙,dau
㐚,ng
㐛,jau
㐜,sau
㐝,keoi
㐞,kei
㐟,fei
㐠,jyu
㐡,no
㐢,fau
㐣,fu
㐤,daan
㐥,co
㐦,geoi
㐧,coi
㐨,zeoi
㐩,jing
㐪,si
㐫,hung
㐬,lau
㐭,lam
㐮,soeng
㐯,jung
㐰,seon
㐱,can
㐲,daai
㐳,ngat
㐴,paan
㐵,jyu
㐶,ci
㐷,maa
㐸,him
㐹,hei
㐹,ngat
㐺,jam
㐻,noi
㐼,cing
㐽,fung
㐾,wun
㐿,sau
㑀,taai
㑁,zeot
㑂,fong
㑃,aau
㑄,mou
㑅,zok
㑆,hing
㑇,zau
㑇,cau
㑈,dung
㑉,suk
㑊,jik
㑋,hung
㑌,hong
㑍,loi
㑎,nou
㑏,cyu
㑐,suk
㑑,zat
㑒,cim
㑓,zeon
㑔,seoi
㑕,seoi
㑖,zung
㑗,san
㑘,gaai
㑙,dip
㑚,naa
㑛,suk
㑜,jai
㑝,lung
㑞,jing
㑟,bang
㑠,gin
㑡,zik
㑢,koek
㑣,laam
㑤,maau
㑥,ji
㑦,lai
㑧,gwai
㑨,jyu
㑩,lo
㑪,caai
㑫,lim
㑫,nim
㑬,gu
㑭,bei
㑮,wan
㑯,seoi
㑰,fui
㑱,jiu
㑲,naam
㑳,zau
㑳,cau
㑴,cam
㑵,zat
㑶,hei
㑷,taai
㑸,jiu
㑹,wui
㑺,zeon
㑻,maat
㑼,loek
㑽,tong
㑾,jiu
㑿,zaau
㒀,zaak
㒁,jyu
㒂,zoek
㒃,ji
㒄,jin
㒅,kai
㒆,kap
㒇,mou
㒈,haam
㒉,cong
㒊,saap
㒋,si
㒌,king
㒍,leoi
㒎,saap
㒏,hon
㒐,seon
㒑,fui
㒒,buk
㒓,taat
㒓,daat
㒔,suk
㒕,ong
㒖,ngau
㒗,toi
㒘,syu
㒙,min
㒚,jan
㒛,tiu
㒜,jyu
㒝,mit
㒞,wai
㒟,niu
㒠,haai
㒡,jau
㒢,joek
㒣,jing
㒤,cip
㒥,fung
㒦,leoi
㒧,lai
㒨,sin
㒩,lo
㒪,sek
㒫,gei
㒬,wong
㒭,kwan
㒮,fui
㒯,jip
㒰,cyun
㒱,zik
㒲,coi
㒳,loeng
㒴,gwat
㒵,maau
㒶,gung
㒷,hing
㒸,seoi
㒹,din
㒺,mong
㒻,mou
㒼,mang
㒼,mun
㒽,hyun
㒾,ci
㒿,lei
㓀,buk
㓁,mong
㓂,kau
㓃,dou
㓄,zam
㓅,ting
㓆,leon
㓇,juk
㓈,bing
㓉,wut
㓊,dung
㓋,gung
㓌,cang
㓍,cung
㓎,cam
㓏,gwing
㓐,luk
㓑,jing
㓒,cat
㓓,naam
㓔,ze
㓕,mit
㓖,bat
㓗,git
㓘,suk
㓙,hung
㓚,gung
㓛,gung
㓜,jau
㓝,jing
㓞,kai
㓞,kit
㓟,pai
㓠,dim
㓡,fu
㓢,lok
㓣,hap
㓤,gat
㓥,tong
㓦,maak
㓦,baak
㓧,gam
㓨,ci
㓩,hyun
㓪,long
㓫,fu
㓬,fu
㓭,hot
㓮,diu
㓯,lei
㓰,waak
㓱,tau
㓲,pin
㓳,dai
㓴,jyun
㓵,ngok
㓶,kit
㓷,ji
㓸,zoek
㓹,jeoi
㓺,kin
㓻,gong
㓼,cat
㓽,sung
㓾,sai
㓿,syu
㔀,king
㔁,dang
㔂,leon
㔃,zyut
㔄,suk
㔅,siu
㔆,caam
㔇,put
㔈,fei
㔉,zuk
㔊,zin
㔋,gaam
㔌,zau
㔍,caat
㔎,sit
㔏,lik
㔐,cim
㔑,cat
㔒,kwai
㔓,gin
㔔,gaa
㔕,gat
㔖,gaa
㔗,fai
㔘,ceot
㔙,paang
㔚,hau
㔛,kit
㔜,but
㔝,loeng
㔞,gwaai
㔟,sai
㔠,hat
㔡,bit
㔢,dyut
㔣,leoi
㔤,san
㔥,baa
㔦,joeng
㔧,leoi
㔨,bui
㔩,ap
㔩,hap
㔪,lou
㔫,lung
㔬,coek
㔭,ci
㔮,no
㔯,syun
㔰,hang
㔱,jyu
㔲,gwai
㔳,gwai
㔴,jik
㔵,syun
㔶,gung
㔷,lau
㔸,tai
㔹,lak
㔺,sai
㔻,pei
㔼,seon
㔽,jau
㔾,cim
㔾,zit
㔿,zau
㕀,wai
㕁,koek
㕂,jam
㕃,kai
㕄,zi
㕅,gaap
㕆,wu
㕇,laap
㕈,ji
㕉,hap
㕊,bou
㕋,kam
㕌,ngoi
㕍,deoi
㕎,hap
㕏,cyu
㕐,se
㕑,ceoi
㕑,cyu
㕒,ngai
㕓,cin
㕔,teng
㕔,ting
㕕,waan
㕖,sou
㕗,jau
㕘,caam
㕘,sam
㕙,zeon
㕚,caa
㕚,zaau
㕛,jau
㕜,si
㕝,si
㕞,caat
㕟,wai
㕠,soeng
㕡,kok
㕢,haai
㕣,jin
㕤,kau
㕥,ji
㕦,waa
㕧,si
㕨,faan
㕩,pong
㕪,dam
㕫,fung
㕬,zung
㕭,jaau
㕭,aau
㕭,jiu
㕮,fu
㕯,neot
㕰,hok
㕱,jau
㕲,muk
㕳,hung
㕴,sam
㕵,gwok
㕵㕵狗,wau wau gau
㕶,ng
㕷,waak
㕸,lap
㕹,fat
㕺,hiu
㕻,tau
㕼,hung
㕽,ci
㕾,siu
㕿,wo
㖀,leot
㖁,leon
㖂,jai
㖃,hau
㖄,zau
㖅,seot
㖆,kuk
㖇,ji
㖈,lou
㖉,kei
㖊,cam
㖊晚黑,cam maan haak
㖊晚黑,cam maan hak
㖋,gaai
㖌,sau
㖍,dau
㖎,gaai
㖏,nit
㖐,wai
㖑,haai
㖒,tai
㖓,hung
㖔,tan
㖕,san
㖖,ngot
㖗,jam
㖘,san
㖘,seon
㖙,gaa
㖚,fu
㖛,gu
㖜,jing
㖝,mei
㖞,wo
