ch,wuu-sh,wuu-sz
㑃,au,au
㑇,tseu,tseu
㑚,na,na
㑩,lu,lou
㑳,tseu,tseu
㒼,moe,moe
㓟,phi,phi
㔉,zoq,zoq
㔶,koe,koe
㔷,ieu,ieu
㕐,sia,sia
㖏,gnian,gnian
㖏,gniaq,gniaq
㖏,gnian,gniaeq
㖸,gnian,gnian
㗿,hoe,hoe
㘎,hoe,hoe
㘚,hoe,hoe
㛴,nau,nau
㜺,tse,tse
㝥,mi,mi
㢊,a,a
㢼,piq,piq
㥡,tshy,tshyu
㦌,hueq,hueq
㧐,son,son
㧑,hue,hue
㧙,biq,biq
㧦,shioe,shioe
㨄,diau,diau
㨖,tsy,tsyu
㨟,ge,ge
㨪,huaon,huaon
㩝,ghau,ghau
㩭,ziau,ziau
㩳,son,son
㪗,theu,theu
㪥,tso,tso
㪬,zoq,zoq
㫰,laon,laon
㬟,ven,ven
㬟,fen,fen
㬵,yau,ciau
㭎,kaon,kaon
㮶,soq,soq
㱟,phi,phi
㱮,gue,gue
㲀,tsen,tsen
㳠,thaq,thaeq
㶒,then,then
㶚,po,po
㷈,eq,eq
㷟,thoe,the
㷟,the,the
㸠,diau,diau
㹂,chi,chie
㼈,lu,lou
㼑,li,lie
㼭,di,die
㽂,saq,seq
㽘,kan,ken
㽱,kau,kau
㽹,fe,fe
㾂,he,he
㾋,shieu,shieu
㾘,kan,kan
㾦,be,be
㾭,tsieu,tseu
㾹,za,za
㿭,tshaq,tshaq
㿯,taq,taeq
㿳,tsy,tsy
㿴,taq,taeq
䀨,huaq,huaeq
䀫,kaq,kaeq
䀰,koq,koq
䂻,zan,zan
䃗,poq,poq
䃙,loq,loq
䃰,tshaq,tshaeq
䄸,phoq,phoq
䅟,se,se
䅟,tshen,tshen
䅟,tshoe,tshoe
䆅,tsy,tsi
䇲,kaq,kaeq
䇲,kaq,ciq
䈆,da,da
䈬,bu,bu
䈰,sau,sau
䈳,daq,daeq
䉬,fi,fi
䊓,zy,zyu
䌟,paq,paq
䌠,ci,chie
䌥,in,in
䌷,zeu,zeu
䏒,phi,phie
䐇,min,min
䐈,tsy,tsyu
䐈,tseq,tseq
䐊,wen,wen
䐛,taq,taeq
䐥,on,on
䐬,zau,zau
䐽,moe,moe
䑆,yan,yan
䑵,meu,mau
䓕,we,we
䓕,yoe,yoe
䖆,gnian,gnian
䘟,tiau,tiau
䙓,pa,pa
䚭,shioe,shioe
䛀,fe,fe
䛛,ue,ue
䛬,tiau,tiau
䜩,i,ie
䝼,zin,zin
䞁,i,ie
䞋,tshen,tshen
䞍,zin,zin
䞩,keq,keq
䞳,boq,boq
䞷,jioq,jiuq
䞷,jiuq,jiuq
䟒,jioe,jioe
䟿,loq,loq
䠡,zu,zou
䠰,jioe,jioe
䠷,thiau,thiau
䢢,tshian,tshian
䥛,ciq,ciq
䩍,liau,liau
䫈,zen,zen
䫌,phi,phi
䫜,au,au
䫲,he,he
䬵,ge,ge
䭂,iq,iq
䭤,chi,chie
䰾,pa,pa
䱀,ian,aon
䱗,tshoe,tshoe
䲉,sy,sy
䲟,in,in
䲢,den,den
䴉,we,we
䴔,kau,ciau
䴖,tsin,tsin
䴱,thu,thou
䵑,gnin,gnin
䶕,bo,bo
䶮,i,ie
一,iq,iq
一下,iq shia,iq ia
一个,iq gheq,iq keq
一个,iq ku,iq keq
一个月,iq geq yoq,iq keq yuq
一个月,iq geq yuq,iq keq yuq
一个月,iq gheq yoq,iq keq yuq
一个月,iq gheq yuq,iq keq yuq
一仗,iq tsan,iq tsan
一個月,iq geq yoq,iq geq yuq
一個月,iq geq yuq,iq geq yuq
一個月,iq gheq yoq,iq keq yuq
一個月,iq gheq yuq,iq keq yuq
一圤恶,iq phoq u,iq phoq ou
一圤惡,iq phoq u,iq phoq ou
一声,iq san,iq san
一声勿响,iq sen veq shian,iq sen veq shian
一大块,iq du khue,iq dou khue
一大塊,iq du khue,iq dou khue
一朝,iq tsau,iq tsau
一朝,iq zau,iq zau
一样个,iq yan gheq,iq yan keq
一样生,iq yan san,iq yan san
一樣生,iq yan san,iq yan san
一瞄,iq miau,iq miau
一瞄,iq miau,iq miau
一聲,iq san,iq san
一聲勿響,iq sen veq shian,iq sen veq shian
一行,iq ghaon,iq ghaon
一行,iq yin,iq yin
一覺,iq kau,iq ciau
一觉,iq kau,iq ciau
一道个,iq dau gheq,iq dau keq
一部分,iq bu ven,iq bu ven
一長,iq tsan,iq tsan
一长,iq tsan,iq tsan
丁,tin,tin
丁,tsen,tsen
七,tshiq,tshiq
七,tshiq,tshia
七个,tshiq gheq,tshiq keq
七个,tshiq ku,tshiq keq
七十,tshiq seq,tshiq seq
七翘八裂,tshiq jiau paq liq,tshiq jiau poq liq
七翹八裂,tshiq jiau paq liq,tshiq jiau poq liq
丄,laon,laon
丄,zaon,zaon
丅,gho,gho
万,ve,ve
万,moq,moq
万,me,me
万个,ve ku,ve keq
万俟,moq ji,moq ji
万只,ve tsaq,ve tsaq
万子,me tsy,me tsy
万望,ve waon,ve maon
万行,ve ghaon,ve ghaon
丈,zan,zan
丈,zan,za
三,se,se
三,sa,sa
三下,se shia,se ia
三个,se gheq,se keq
三个,se ku,se keq
三分之一,se ven tsy iq,se ven tsyu iq
三十,se seq,se seq
三更,se kan,se ken
三朝,se tsau,se tsau
三朝,se zau,se zau
三生,se san,se san
三生,se sen,se sen
上,zaon,zaon
上,zaon,zan
上个,zaon ku,zaon keq
上个月,zaon geq yoq,zaon keq yuq
上个月,zaon geq yuq,zaon keq yuq
上个月,zaon gheq yoq,zaon keq yuq
上个月,zaon gheq yuq,zaon keq yuq
上交,zaon kau,zaon ciau
上個,zaon ku,zaon kou
上個月,zaon geq yoq,zaon geq yuq
上個月,zaon geq yuq,zaon geq yuq
上個月,zaon gheq yoq,zaon keq yuq
上個月,zaon gheq yuq,zaon keq yuq
上更,zaon kan,zaon ken
上行,zaon ghaon,zaon ghaon
下,gho,gho
下,shia,ia
下,gho,shia
下,gho,yo
下下个月,gho gho gheq yoq,gho gho keq yuq
下下个月,gho gho gheq yuq,gho gho keq yuq
下下個月,gho gho gheq yoq,gho gho keq yuq
下下個月,gho gho gheq yuq,gho gho keq yuq
下个,gho gheq,gho keq
下个月,gho geq yoq,gho keq yuq
下个月,gho geq yuq,gho keq yuq
下个月,gho gheq yoq,gho keq yuq
下个月,gho gheq yuq,gho keq yuq
下個月,gho geq yoq,gho geq yuq
下個月,gho geq yuq,gho geq yuq
下個月,gho gheq yoq,gho keq yuq
下個月,gho gheq yuq,gho keq yuq
下只角,gho tsaq koq,gho tsaq koq
下咽,gho i,gho ie
丌,ji,ji
不,peq,peq
不,peq,piq
不咽,peq i,peq ie
不复,peq voq,peq voq
不度,peq du,peq dou
不教,peq kau,peq ciau
不日,peq zeq,peq zeq
不易,peq i,peq i
不長,peq tsan,peq tsan
不長,peq zan,peq zan
不长,peq tsan,peq tsan
不长,peq zan,peq zan
不阿,peq a,peq aeq
不降,peq ghaon,peq ghaon
与,yu,yu
与,yu,iu
与日,yu zeq,yu zeq
丏,mi,mie
丐,ke,ke
丑,tsheu,tsheu
专,tsoe,tsoe
专家,tsoe cia,tsoe cia
且,tshi,tshi
且,tsiu,tsi
且,tshiu,tshi
且,tshia,tshia
丕,phe,phe
丕,phi,phi
世,sy,syu
